Size IntIdx IntAppend PoloIdx PoloAppend
6240000 182931173 205499365 440518398 493468936
6250000 167629446 182859723 462220639 474651638
6260000 166354113 239104184 488138839 457556364
6270000 204779752 225308880 438450896 460434725
6280000 219179341 239334998 453878225 454406016
6290000 219914184 244814720 467031831 465107237
6300000 194633704 231087941 443271834 442374626
6310000 207695512 222171249 494906274 449615280
6320000 232855530 241931623 457161692 482626945
6330000 196442100 238372833 454079607 447549209
6340000 192659959 240505794 477977678 502308084
6350000 234968833 237288181 459075666 456693776
6360000 191643440 233071832 449562882 492222751
6370000 213532439 239213861 458915174 463730117
6380000 194727876 237210027 464564543 492147933
6390000 212400187 228006221 456165638 497062260
6400000 214503085 242945298 451575819 489966236
6410000 175132282 238913422 484734698 499896533
6420000 214178878 235138073 494867310 479861803
6430000 221233200 244631453 458316917 513816695
6440000 205792433 219334711 457721360 474902574
6450000 224879437 243373016 451690992 465637925
6460000 199595436 246015333 462768487 488561581
6470000 237811130 240090855 463752189 489893392
6480000 218407633 241438071 463074087 484132822
6490000 230383605 233335163 465113642 466968288
6500000 230615235 232414266 470499000 470399865
6510000 219261622 239417971 455817997 477269225
6520000 201274615 235339976 457578724 500201258
6530000 223092819 250358660 466814088 480246357
6540000 219529573 232018842 479196536 485157864
6550000 205982033 231234432 459563573 484450658
6560000 223041030 227005302 487998487 507104201
6570000 228337545 237056021 459700846 487752398
6580000 230195178 254098523 485321384 496932036
6590000 221450850 237728624 472959324 453805172
6600000 212718591 231730925 465914218 491524046
6610000 196708789 223805440 466829676 483918015
6620000 209161511 250247447 458424950 483142613
6630000 230044186 225145638 472408260 485966298
6640000 215432620 249498259 490025926 491241214
6650000 217503489 235729827 460534345 486122552
6660000 221842831 246493404 460323317 484826467
6670000 231417428 246697857 487200871 473919977
6680000 236798158 254349780 495079148 473296056
6690000 221699851 259939505 518501665 502069873
6700000 219633585 248504165 471337251 503923809
6710000 207432226 237414446 504721438 506508613
6720000 216233601 252148636 489199357 518772324
6730000 228837602 258260751 501217276 494029887
6740000 216123811 243390105 487185390 500076037
6750000 235885703 259834635 485038416 482038595
6760000 228346921 233337300 489569850 506267743
6770000 226458319 263144161 503984901 474907641
6780000 224242795 247196674 480939440 516257942
6790000 241055267 253823640 485820687 495316778
6800000 226145808 233340857 497237528 503345475
6810000 222403768 244468404 486333199 499165095
6820000 189830394 206685484 562023400 545768154
6830000 206468296 222052128 572701003 552692094
6840000 189468203 220311666 544332309 580312741
6850000 199637710 220297239 533437920 558053304
6860000 199756336 216265395 577648009 545365039
6870000 216003761 215797265 597888111 585229273
6880000 203544039 231000309 560688919 543474762
6890000 203241960 223420089 601463943 565635394
6900000 203722099 229092166 558330116 614913060
6910000 191250291 208349311 556048066 611754147
6920000 218766039 223847399 580858266 557197819
6930000 211165834 221039255 546015840 593168347
6940000 196108817 223840644 580386576 530249113
6950000 192314093 221073570 577202749 540100380
6960000 202630467 234072712 537095621 596919826
6970000 214205249 236056621 561503152 542979817
6980000 194373900 238718639 549462959 615287527
